x,y,z,T
1.5,18,20,29.7
1.5,17,20,31.1
1.5,16,20,30.4
1.5,15,20,30.3
1.5,14,20,29.5
1.5,13,20,30.1
1.5,12,20,29.8
1.5,11,20,30
1.5,10,20,30.4
1.5,9,20,32
1.5,8,20,33.7
2.5,18,20,29.7
2.5,17,20,30.2
2.5,16,20,30
2.5,15,20,30.1
2.5,14,20,30.5
2.5,13,20,30
2.5,12,20,30
2.5,11,20,34
2.5,10,20,36.6
2.5,9,20,37.3
2.5,8,20,35
3.5,18,20,31.2
3.5,17,20,31.1
3.5,16,20,31.3
3.5,15,20,30.4
3.5,14,20,30.1
3.5,13,20,30.1
3.5,12,20,29.6
3.5,11,20,36.3
3.5,10,20,35.9
3.5,9,20,44.7
3.5,8,20,47.1
4.5,18,20,30.8
4.5,17,20,30.4
4.5,16,20,32.5
4.5,15,20,33.6
4.5,14,20,34
4.5,13,20,34.4
4.5,12,20,40.5
4.5,11,20,51.7
4.5,10,20,57.3
4.5,9,20,59.9
4.5,8,20,52.6
5.5,18,20,33
5.5,17,20,32.8
5.5,16,20,32.6
5.5,15,20,35
5.5,14,20,39.1
5.5,13,20,41.5
5.5,12,20,51.1
5.5,11,20,64.1
5.5,10,20,61.4
5.5,9,20,64.3
5.5,8,20,59.2
6.5,18,20,28.9
6.5,17,20,30.9
6.5,16,20,33.5
6.5,15,20,40.5
6.5,14,20,48
6.5,13,20,51.8
6.5,12,20,60.8
6.5,11,20,63
6.5,10,20,60.7
6.5,9,20,55
6.5,8,20,51.8
7.5,18,20,31.2
7.5,17,20,31.5
7.5,16,20,36
7.5,15,20,47.5
7.5,14,20,70.5
7.5,13,20,72.7
7.5,12,20,62.3
7.5,11,20,49
7.5,10,20,48.2
7.5,9,20,44.6
7.5,8,20,47
8.5,18,20,31.5
8.5,17,20,31.9
8.5,16,20,31.8
8.5,15,20,34.9
8.5,14,20,44.1
8.5,13,20,48.5
8.5,12,20,46.6
8.5,11,20,43
8.5,10,20,44.5
8.5,9,20,40.3
8.5,8,20,42.7
9.5,18,20,32.2
9.5,17,20,31.9
9.5,16,20,32
9.5,15,20,33.1
9.5,14,20,35.2
9.5,13,20,36.2
9.5,12,20,36
9.5,11,20,34.5
9.5,10,20,35.8
9.5,9,20,40.1
9.5,8,20,43.1
10.5,18,20,32.1
10.5,17,20,29.9
10.5,16,20,29.6
10.5,15,20,29.5
10.5,14,20,33.5
10.5,13,20,33.4
10.5,12,20,32.6
10.5,11,20,32.4
10.5,10,20,32.7
10.5,9,20,35
10.5,8,20,36.2
11.5,18,20,29
11.5,17,20,32
11.5,16,20,32.1
11.5,15,20,32
11.5,14,20,32.1
11.5,13,20,33.1
11.5,12,20,30.1
11.5,11,20,30.2
11.5,10,20,31.8
11.5,9,20,36
11.5,8,20,34
