x,y,z,T
1,18,18,26.6
1,17,18,26.7
1,16,18,27.1
1,15,18,27.1
1,14,18,27.6
1,13,18,27.3
1,12,18,27.5
1,11,18,27.9
1,10,18,27
1,9,18,26.5
1,8,18,30.5
2,18,18,26
2,17,18,26.4
2,16,18,26.5
2,15,18,26.5
2,14,18,26.5
2,13,18,27.3
2,12,18,28
2,11,18,30.3
2,10,18,33.8
2,9,18,33.6
2,8,18,34.6
3,18,18,27.7
3,17,18,27.5
3,16,18,27.4
3,15,18,27.3
3,14,18,27.6
3,13,18,27.5
3,12,18,29.2
3,11,18,31.3
3,10,18,37.3
3,9,18,39
3,8,18,44.5
4,18,18,26.1
4,17,18,26.8
4,16,18,27
4,15,18,27.1
4,14,18,28.3
4,13,18,31
4,12,18,33.7
4,11,18,38.1
4,10,18,45
4,9,18,46.6
4,8,18,48.4
5,18,18,27.8
5,17,18,27.7
5,16,18,27.2
5,15,18,26.3
5,14,18,26.4
5,13,18,30.5
5,12,18,34.3
5,11,18,39.8
5,10,18,48.3
5,9,18,45.4
5,8,18,51.1
6,18,18,27.7
6,17,18,27.6
6,16,18,28
6,15,18,29
6,14,18,31.8
6,13,18,44.4
6,12,18,46.4
6,11,18,51.9
6,10,18,50.2
6,9,18,50
6,8,18,46.8
7,18,18,28.3
7,17,18,26
7,16,18,27.4
7,15,18,27.8
7,14,18,30.4
7,13,18,37.4
7,12,18,45.4
7,11,18,44.6
7,10,18,43.3
7,9,18,45
7,8,18,45.8
8,18,18,29.5
8,17,18,28.8
8,16,18,29
8,15,18,27.7
8,14,18,27.8
8,13,18,30
8,12,18,30.5
8,11,18,36.9
8,10,18,36.5
8,9,18,38
8,8,18,38.8
9,18,18,26.9
9,17,18,27.3
9,16,18,29
9,15,18,28
9,14,18,28.7
9,13,18,29.2
9,12,18,29.5
9,11,18,31.4
9,10,18,31.3
9,9,18,34
9,8,18,32.8
10,18,18,27.3
10,17,18,27.8
10,16,18,27.7
10,15,18,27.9
10,14,18,28.3
10,13,18,27.7
10,12,18,27.9
10,11,18,27.8
10,10,18,27.8
10,9,18,29
10,8,18,31.11
11,18,18,27.1
11,17,18,26.2
11,16,18,26.4
11,15,18,26.8
11,14,18,27.3
11,13,18,28
11,12,18,29
11,11,18,29.6
11,10,18,30
11,9,18,30.8
11,8,18,32.4
