x,y,z,T
3,16.5,21,34.3
3,15.5,21,36.1
3,14.5,21,39.2
3,13.5,21,45
3,12.5,21,52.1
3,11.5,21,53.3
3,10.5,21,52.6
3,9.5,21,51.8
3,8.5,21,52.1
3,7.5,21,50
3,6.5,21,50.4
4,16.5,21,36.75
4,15.5,21,41.1
4,14.5,21,49
4,13.5,21,55.3
4,12.5,21,55.5
4,11.5,21,52.8
4,10.5,21,51.8
4,9.5,21,53
4,8.5,21,51.5
4,7.5,21,53.1
4,6.5,21,57
5,16.5,21,42.5
5,15.5,21,41.2
5,14.5,21,43.1
5,13.5,21,39.8
5,12.5,21,45.6
5,11.5,21,55
5,10.5,21,54.3
5,9.5,21,60
5,8.5,21,61.5
5,7.5,21,64
5,6.5,21,58.35
6,16.5,21,41
6,15.5,21,41.15
6,14.5,21,50.6
6,13.5,21,58.05
6,12.5,21,83.25
6,11.5,21,105.75
6,10.5,21,106.8
6,9.5,21,102.4
6,8.5,21,93.55
6,7.5,21,88.5
6,6.5,21,93.4
7,16.5,21,38
7,15.5,21,38.4
7,14.5,21,44.9
7,13.5,21,71.5
7,12.5,21,112.95
7,11.5,21,145.53
7,10.5,21,150.6
7,9.5,21,143.7
7,8.5,21,132.95
7,7.5,21,119.35
7,6.5,21,111.45
8,16.5,21,39.7
8,15.5,21,43.4
8,14.5,21,52.6
8,13.5,21,110.9
8,12.5,21,142.7
8,11.5,21,148
8,10.5,21,155.9
8,9.5,21,159.1
8,8.5,21,147.9
8,7.5,21,134.5
8,6.5,21,121.7
9,16.5,21,38.7
9,15.5,21,45.1
9,14.5,21,65.1
9,13.5,21,115.6
9,12.5,21,153.5
9,11.5,21,160.5
9,10.5,21,150.6
9,9.5,21,140.8
9,8.5,21,136.3
9,7.5,21,127.4
9,6.5,21,115.1
10,16.5,21,37
10,15.5,21,37.4
10,14.5,21,45.4
10,13.5,21,83.65
10,12.5,21,120.75
10,11.5,21,134.8
10,10.5,21,127.2
10,9.5,21,114.1
10,8.5,21,110.2
10,7.5,21,108
10,6.5,21,105.5
11,16.5,21,39
11,15.5,21,45.3
11,14.5,21,47.85
11,13.5,21,60.5
11,12.5,21,78.25
11,11.5,21,84
11,10.5,21,83.1
11,9.5,21,79.5
11,8.5,21,81.1
11,7.5,21,77.7
11,6.5,21,88.3
12,16.5,21,37.6
12,15.5,21,40.4
12,14.5,21,43.25
12,13.5,21,47.2
12,12.5,21,52.25
12,11.5,21,58.8
12,10.5,21,56.5
12,9.5,21,59.6
12,8.5,21,44.15
12,7.5,21,58.85
12,6.5,21,62.6
13,16.5,21,39
13,15.5,21,42.35
13,14.5,21,46.6
13,13.5,21,53.35
13,12.5,21,54.1
13,11.5,21,57
13,10.5,21,53.35
13,9.5,21,58.25
13,8.5,21,57.3
13,7.5,21,59.55
13,6.5,21,59
