x,y,z,T
3,17,20.5,33.5
3,16,20.5,34.2
3,15,20.5,32.9
3,14,20.5,34
3,13,20.5,35.2
3,12,20.5,39.1
3,11,20.5,39.4
3,10,20.5,41.5
3,9,20.5,41.7
3,8,20.5,45.8
3,7,20.5,51.7
4,17,20.5,37.8
4,16,20.5,36.5
4,15,20.5,35.5
4,14,20.5,37.4
4,13,20.5,39.4
4,12,20.5,43.3
4,11,20.5,43.2
4,10,20.5,46.85
4,9,20.5,51.3
4,8,20.5,53.6
4,7,20.5,67.7
5,17,20.5,34.25
5,16,20.5,31.1
5,15,20.5,36.5
5,14,20.5,37
5,13,20.5,39.1
5,12,20.5,41.7
5,11,20.5,55
5,10,20.5,60
5,9,20.5,76.55
5,8,20.5,84.4
5,7,20.5,83.25
6,17,20.5,33.55
6,16,20.5,38.3
6,15,20.5,36.6
6,14,20.5,38.1
6,13,20.5,40.4
6,12,20.5,40.7
6,11,20.5,55.05
6,10,20.5,85
6,9,20.5,98.85
6,8,20.5,107.8
6,7,20.5,105.3
7,17,20.5,35.7
7,16,20.5,34.8
7,15,20.5,35.1
7,14,20.5,38.6
7,13,20.5,37.8
7,12,20.5,42
7,11,20.5,60.15
7,10,20.5,107.35
7,9,20.5,129.75
7,8,20.5,129.95
7,7,20.5,118.95
8,17,20.5,34.9
8,16,20.5,35.85
8,15,20.5,35.7
8,14,20.5,38.2
8,13,20.5,45.65
8,12,20.5,53
8,11,20.5,71.8
8,10,20.5,114.17
8,9,20.5,129.4
8,8,20.5,132.85
8,7,20.5,125.7
9,17,20.5,35.9
9,16,20.5,37
9,15,20.5,37
9,14,20.5,39.2
9,13,20.5,40.9
9,12,20.5,49.65
9,11,20.5,77
9,10,20.5,104
9,9,20.5,120.7
9,8,20.5,123.5
9,7,20.5,123.15
10,17,20.5,33.95
10,16,20.5,35.6
10,15,20.5,34.5
10,14,20.5,37.2
10,13,20.5,37
10,12,20.5,43.3
10,11,20.5,49.7
10,10,20.5,65.6
10,9,20.5,81.8
10,8,20.5,89
10,7,20.5,99.8
11,17,20.5,33.8
11,16,20.5,34.4
11,15,20.5,37.8
11,14,20.5,38.2
11,13,20.5,39.1
11,12,20.5,43.75
11,11,20.5,48.4
11,10,20.5,54.25
11,9,20.5,58.5
11,8,20.5,70
11,7,20.5,81.65
12,17,20.5,31
12,16,20.5,31.1
12,15,20.5,32.5
12,14,20.5,37
12,13,20.5,38.85
12,12,20.5,41.2
12,11,20.5,42.9
12,10,20.5,47
12,9,20.5,48.3
12,8,20.5,52
12,7,20.5,59
13,17,20.5,32.2
13,16,20.5,36.9
13,15,20.5,37.65
13,14,20.5,40.3
13,13,20.5,43
13,12,20.5,46
13,11,20.5,45.8
13,10,20.5,46.3
13,9,20.5,46.3
13,8,20.5,49.1
13,7,20.5,52.7
